TEAM,COLLEGE,NAME
Oklahoma City Thunder,Pittsburgh,Steven Adams
Brooklyn Nets,Texas,Jarrett Allen
Phoenix Suns,Arizona,Deandre Ayton
Orlando Magic,Texas,Mo Bamba
Phoenix Suns,Washington State,Aron Baynes
Indiana Pacers,,Goga Bitadze
Charlotte Hornets,,Bismack Biyombo
Denver Nuggets,Oregon,Bol Bol
Utah Jazz,North Carolina,Tony Bradley
Portland Trail Blazers,UCLA,Moses Brown
Washington Wizards,Indiana,Thomas Bryant
Los Angeles Lakers,North Carolina-Wilmington,Devontae Cacok
Atlanta Hawks,,Clint Capela
Chicago Bulls,Duke, Wendell Carter Jr.
Dallas Mavericks,Kentucky,Willie Cauley-Stein
Houston Rockets,,Tyson Chandler
Golden State Warriors,Washington,Marquese Chriss
Utah Jazz,North Carolina,Ed Davis
Atlanta Hawks,USC,Dewayne Dedmon
Memphis Grizzlies,Louisville,Gorgui Dieng
Cleveland Cavaliers,Connecticut,Andre Drummond
Philadelphia 76ers,Kansas,Joel Embiid
Boston Celtics,UCF,Tacko Fall
New Orleans Pelicans,Georgia Tech,Derrick Favors
Atlanta Hawks,Maryland,Bruno Fernando
Toronto Raptors,,Marc Gasol
New York Knicks,USC,Taj Gibson
Sacramento Kings,Duke,Harry Giles III 
Utah Jazz,,Rudy Gobert
New Orleans Pelicans,Texas,Jaxson Hayes
Toronto Raptors,Miami (FL),Dewan Hernandez
Charlotte Hornets,,Willy Hernangomez
Sacramento Kings,Bowling Green,Richaun Holmes
Los Angeles Lakers,,Dwight Howard
Toronto Raptors,,Serge Ibaka
Denver Nuggets,,Nikola Jokic
Atlanta Hawks,Vanderbilt,Damian Jones
Brooklyn Nets,Texas A&M,DeAndre Jordan
Phoenix Suns,Wisconsin,Frank Kaminsky
Boston Celtics,Kentucky,Enes Kanter
Chicago Bulls,Vanderbilt,Luke Kornet
Sacramento Kings,Maryland,Alex Len
Miami Heat,Illinois,Meyers Leonard
Milwaukee Bucks,Stanford,Brook Lopez
Milwaukee Bucks,Stanford,Robin Lopez
San Antonio Spurs,Kentucky,Trey Lyles
Washington Wizards,,Ian Mahinmi
Detroit Pistons,,Thon Maker
Dallas Mavericks,,Boban Marjanovic
Los Angeles Lakers,Nevada,JaVale McGee
LA Clippers,Florida,Joakim Noah
Oklahoma City Thunder,Kentucky,Nerlens Noel
Portland Trail Blazers,,Jusuf Nurkic
Philadelphia 76ers,Norfolk State,Kyle O'Quinn
New Orleans Pelicans,Duke,Jahlil Okafor
Washington Wizards,,Anzejs Pasecniks
Detroit Pistons,Creighton,Justin Patton
San Antonio Spurs,Utah,Jakob Poeltl
Boston Celtics,,Vincent Poirier
Dallas Mavericks,Stanford,Dwight Powell
Minnesota Timberwolves,LSU,Naz Reid
New York Knicks,Western Kentucky,Mitchell Robinson
Boston Celtics,,Daniel Theis
Cleveland Cavaliers,Texas,Tristan Thompson
Minnesota Timberwolves,Kentucky,Karl-Anthony Towns
Indiana Pacers,Texas,Myles Turner
